load,price,solar
66.0,37.0,46.0
65.94,38.0,65.0
66.38,35.0,75.0
65.7,34.0,74.0
64.27,32.0,58.0
64.96,32.0,35.0
65.58,35.0,10.0
68.06,43.0,1.0
69.76,44.0,0.0
67.76,36.0,0.0
66.32,30.0,0.0
64.5,28.0,0.0
64.29,29.0,0.0
61.74,25.0,0.0
61.33,24.0,0.0
56.0,22.0,0.0
57.91,23.0,0.0
55.17,23.0,0.0
53.26,22.0,0.0
54.25,22.0,0.0
58.42,19.0,0.0
62.38,20.0,0.0
64.47,23.0,6.0
68.88,27.0,22.0
68.01,29.0,42.0
69.66,31.0,58.0
63.06,31.0,67.0
65.08,30.0,66.0
62.49,28.0,54.0
63.04,30.0,34.0
63.74,30.0,11.0
65.65,38.0,1.0
69.61,42.0,0.0
70.96,40.0,0.0
65.4,32.0,0.0
62.13,31.0,0.0
65.36,33.0,0.0
63.71,30.0,0.0
62.3,28.0,0.0
61.26,27.0,0.0
60.18,27.0,0.0
59.58,27.0,0.0
60.62,26.0,0.0
65.08,28.0,0.0
73.4,34.0,0.0
83.57,43.0,0.0
85.16,47.0,11.0
84.91,47.0,39.0
83.19,44.0,77.0
82.29,43.0,108.0
81.25,40.0,123.0
81.77,41.0,117.0
79.68,39.0,94.0
79.06,39.0,57.0
81.62,40.0,18.0
86.49,44.0,2.0
88.33,43.0,0.0
82.52,39.0,0.0
74.35,32.0,0.0
67.1,28.0,0.0
68.3,28.0,0.0
63.47,22.0,0.0
63.32,20.0,0.0
61.25,20.0,0.0
59.66,19.0,0.0
56.03,19.0,0.0
56.82,19.0,0.0
62.2,21.0,0.0
70.26,29.0,0.0
79.31,36.0,0.0
78.35,40.0,8.0
77.41,37.0,27.0
78.74,37.0,54.0
83.55,37.0,80.0
81.49,36.0,94.0
78.17,36.0,97.0
77.78,38.0,82.0
75.85,40.0,48.0
79.16,43.0,15.0
82.92,50.0,1.0
80.72,52.0,0.0
79.88,49.0,0.0
78.18,39.0,0.0
71.29,35.0,0.0
71.6,34.0,0.0
68.2,30.0,0.0
70.54,28.0,0.0
64.43,27.0,0.0
63.86,26.0,0.0
62.34,25.0,0.0
63.73,25.0,0.0
69.19,27.0,0.0
76.8,34.0,0.0
82.46,40.0,0.0
81.22,42.0,13.0
80.06,39.0,45.0
84.03,36.0,93.0
85.53,34.0,129.0
84.4,31.0,127.0
84.9,29.0,116.0
84.02,28.0,96.0
81.0,27.0,60.0
81.91,26.0,21.0
85.14,28.0,2.0
85.06,28.0,0.0
80.4,25.0,0.0
77.41,23.0,0.0
69.17,19.0,0.0
67.96,17.0,0.0
61.23,9.0,0.0
72.09,11.0,0.0
66.59,11.0,0.0
65.47,9.0,0.0
64.92,9.0,0.0
66.69,11.0,0.0
69.0,13.0,0.0
73.79,25.0,0.0
79.95,31.0,0.0
83.26,31.0,7.0
85.37,27.0,26.0
87.05,28.0,50.0
84.71,28.0,74.0
83.04,27.0,91.0
82.12,27.0,90.0
77.07,29.0,71.0
74.97,30.0,44.0
80.55,35.0,15.0
80.11,42.0,2.0
80.19,45.0,0.0
73.3,42.0,0.0
72.15,39.0,0.0
67.11,33.0,0.0
68.26,31.0,0.0
69.72,27.0,0.0
62.15,27.0,0.0
59.82,26.0,0.0
58.6,26.0,0.0
61.56,26.0,0.0
62.76,25.0,0.0
63.95,28.0,0.0
71.23,33.0,0.0
77.3,42.0,0.0
77.57,48.0,9.0
73.34,46.0,30.0
71.56,45.0,49.0
72.2,46.0,59.0
71.3,45.0,58.0
71.4,44.0,54.0
70.09,44.0,44.0
72.0,43.0,29.0
73.7,44.0,12.0
72.16,48.0,2.0
68.98,49.0,0.0
63.75,46.0,0.0
64.0,39.0,0.0
55.38,33.0,0.0
57.01,31.0,0.0
52.58,27.0,0.0
58.0,28.0,0.0
57.7,28.0,0.0
56.63,27.0,0.0
55.13,25.0,0.0
57.68,25.0,0.0
58.98,24.0,0.0
59.49,26.0,0.0
66.8,29.0,1.0
67.01,30.0,11.0
66.63,33.0,35.0
60.34,33.0,71.0
60.38,34.0,109.0
64.52,33.0,127.0
65.67,31.0,120.0
62.33,30.0,89.0
64.43,31.0,51.0
64.65,32.0,18.0
70.1,38.0,2.0
66.54,40.0,0.0
65.08,35.0,0.0
63.61,31.0,0.0
64.05,28.0,0.0
61.25,29.0,0.0
56.97,27.0,0.0
63.96,27.0,0.0
62.41,25.0,0.0
61.26,24.0,0.0
59.83,24.0,0.0
59.66,24.0,0.0
60.04,24.0,0.0
60.76,21.0,0.0
