month,day_type,hour,load,solar,wind,price
4,1,18,0.6970822536933432,0.0,0.09016660819685247,0.43326666666666663
4,1,19,0.6620424224146597,0.0,0.08667893506978423,0.38566666666666666
4,1,20,0.6315765718635047,0.0,0.0862686205842468,0.36666666666666664
4,1,21,0.5575968701211043,0.0,0.09078207992515863,0.3388
4,1,22,0.4958209469648011,0.0,0.09026918681823683,0.318
4,1,23,0.480317214128769,0.0,0.0941671744308425,0.28226666666666667
4,1,0,0.45815920612353334,0.0,0.09396201718807379,0.2692
4,1,1,0.4386702938467188,0.0,0.09119239441069607,0.2465333333333333
4,1,2,0.4379153151933299,0.0,0.09180786613900223,0.258
4,1,3,0.44559332500394927,0.0,0.09447491029499559,0.2786
4,1,4,0.4584177042494219,0.006052138661677242,0.093449124081152,0.34400000000000003
4,1,5,0.4993588836163477,0.044519121680812256,0.09365428132392072,0.382
4,1,6,0.5310864512105302,0.10073220619944155,0.09406459580945815,0.4106666666666667
4,1,7,0.5418079687176236,0.15038025894947182,0.09662906134406715,0.34800000000000003
4,1,8,0.5462455198787111,0.18597504056984474,0.09878321239313871,0.29333333333333333
4,1,9,0.5511754484224434,0.20649076484671675,0.09703937582960459,0.2733333333333333
4,1,10,0.5492120936091467,0.2115171172945504,0.09693679720822024,0.2338
4,1,11,0.5330580123135377,0.20597787173979495,0.09426975305222687,0.23233333333333334
4,1,12,0.5379869150710562,0.18618019781261347,0.09047434406100555,0.2534
4,1,13,0.5279978089206472,0.15222667413439028,0.08585830609870936,0.2694666666666667
4,1,14,0.5059936688474881,0.10514308691896904,0.08483251988486575,0.2866666666666667
4,1,15,0.5167059542786568,0.048211952050649216,0.07867780260180415,0.305
4,1,16,0.5465727456809271,0.006667610389983402,0.06636836803568094,0.322
4,1,17,0.6047532881577085,0.0,0.06411163836522502,0.35573333333333335
4,1,18,0.5924807818952835,0.0,0.06472711009353119,0.38886666666666664
4,1,19,0.5929947007884192,0.0,0.05939302178154446,0.3466666666666667
4,1,20,0.5757368735267145,0.0,0.05149446793494874,0.37353333333333333
4,1,21,0.5238331168924422,0.0,0.04133918441789709,0.3466666666666667
4,1,22,0.4735347156828351,0.0,0.03426125954237625,0.3404666666666667
4,1,23,0.4641108177362539,0.0,0.028106542259314648,0.3045333333333333
4,0,0,0.4442556997810972,0.0,0.02667044155993361,0.29253333333333337
4,0,1,0.43159647211605334,0.0,0.02974780020146441,0.28106666666666663
4,0,2,0.43508106788448,0.0,0.03159421538638289,0.29253333333333337
4,0,3,0.4476510521489195,0.0,0.031286479522229814,0.2889333333333334
4,0,4,0.47181754956086086,0.007283082118289563,0.02728591328823977,0.29253333333333337
4,0,5,0.5134408767599926,0.050263524478336416,0.020926038762409446,0.36660000000000004
4,0,6,0.5516144849219684,0.10770755245357803,0.015591950450422725,0.36666666666666664
4,0,7,0.5723897331109429,0.15304730310546516,0.015079057343500925,0.35186666666666666
4,0,8,0.5810350593212167,0.18423120400631063,0.015079057343500925,0.3201333333333334
4,0,9,0.5872184986182659,0.2017721482630362,0.014361006993810405,0.2792
4,0,10,0.587913981671252,0.20751655106056036,0.015386793207654004,0.2792
4,0,11,0.5665889120716573,0.2012592551561144,0.018053837363647365,0.23493333333333336
4,0,12,0.570925936183788,0.1822822102000078,0.017746101499494286,0.23566666666666666
4,0,13,0.5612230243870414,0.15038025894947182,0.017643522878109927,0.23566666666666666
4,0,14,0.5483032470236813,0.10442503656927851,0.018669309091953527,0.28226666666666667
4,0,15,0.5678578096181818,0.0480067948078805,0.014976478722116566,0.3376
4,0,16,0.6168688491294152,0.006770189011367762,0.011386226973663963,0.35319999999999996
4,0,17,0.7188843138823751,0.0,0.011078491109510884,0.4
4,0,18,0.7264330746300501,0.0,0.009437233167361123,0.41373333333333334
4,0,19,0.6645843206525641,0.0,0.008616604196286242,0.3778666666666667
4,0,20,0.5812043140465009,0.0,0.007283082118289563,0.3811333333333333
4,0,21,0.5361374225274962,0.0,0.0068727676327521225,0.36693333333333333
4,0,22,0.5002359308291839,0.0,0.008719182817670604,0.3405333333333333
4,0,23,0.48065469779312353,0.0,0.010565598002589084,0.32606666666666667
4,0,0,0.443680233715131,0.0,0.010463019381204723,0.3086
4,0,1,0.4168990072441022,0.0,0.011181069730895244,0.28633333333333333
4,0,2,0.4123845221169765,0.0,0.009744969031514204,0.3031333333333333
4,0,3,0.4092097137851306,0.0,0.006975346254136482,0.3333333333333333
4,0,4,0.41002111068028085,0.008206289710748802,0.005128931069218002,0.32786666666666664
4,0,5,0.4423682531476249,0.048827423778955374,0.0038979876126056814,0.29946666666666666
4,0,6,0.48609239051270836,0.1016554137919008,0.003487673127068241,0.31333333333333335
4,0,7,0.5174383656353412,0.1450461706374851,0.004000566233990041,0.3128
4,0,8,0.5204336613797645,0.17315271289679973,0.004410880719527482,0.2792
4,0,9,0.500006154717283,0.19161686474598455,0.004923773826449282,0.2182666666666667
4,0,10,0.4597655873344124,0.1968483744365869,0.006565031768599042,0.20346666666666666
4,0,11,0.4128235586165016,0.18946271369691298,0.008719182817670604,0.126
4,0,12,0.4105145138491396,0.1681263604489661,0.010463019381204723,0.06666666666666667
4,0,13,0.40574358216855305,0.1353012016059709,0.010668176623973444,0.115
4,0,14,0.39649509366453917,0.09006402957546811,0.009129497303208042,0.2182666666666667
4,0,15,0.4080516011497012,0.040928869932359654,0.007590817982442643,0.2733333333333333
4,0,16,0.44414491487000207,0.006770189011367762,0.0061547172830616025,0.29760000000000003
4,0,17,0.53646669990214,0.0,0.004821195205064922,0.37853333333333333
4,0,18,0.5668822869288165,0.0,0.003590251748452601,0.4533333333333333
4,0,19,0.5396722818204013,0.0,0.0038979876126056814,0.4066
4,0,20,0.5080236997646845,0.0,0.004410880719527482,0.39553333333333335
4,0,21,0.46598903229380156,0.0,0.005231509690602361,0.36286666666666667
4,0,22,0.42847090152247186,0.0,0.004616037962296202,0.33640000000000003
4,0,23,0.41698004435499586,0.0,0.004513459340911841,0.3363333333333334
4,1,0,0.4011552404340306,0.0,0.005641824176139802,0.306
4,1,1,0.3928679136123882,0.0,0.006975346254136482,0.3014
4,1,2,0.39215191483512535,0.0,0.007898553846595723,0.33199999999999996
4,1,3,0.3904501355063588,0.0,0.008308868332133163,0.3086
4,1,4,0.3957862753907732,0.007180503496905202,0.008103711089364442,0.3539333333333334
4,1,5,0.4201168985969296,0.04533975065188713,0.006975346254136482,0.4
4,1,6,0.45960556468505287,0.0982703192862169,0.006667610389983402,0.46659999999999996
4,1,7,0.4886158245987637,0.14278944096702917,0.0068727676327521225,0.4177333333333333
4,1,8,0.4994173534305368,0.1737681846251059,0.008616604196286242,0.3832
4,1,9,0.5041687951730603,0.18874466334722245,0.010463019381204723,0.30666666666666664
4,1,10,0.5025562592448982,0.1886420847258381,0.011488805595048324,0.28
4,1,11,0.4739973452652785,0.1785893798301708,0.011796541459201403,0.26666666666666666
4,1,12,0.4640082391148695,0.16033038522375473,0.011591384216432684,0.28
4,1,13,0.44930667109806305,0.1283258553518344,0.013027484915813724,0.28
4,1,14,0.4406531385980785,0.0839093122924065,0.010463019381204723,0.2848
4,1,15,0.4527830605767791,0.03785151129082885,0.007385660739673922,0.3287333333333333
4,1,16,0.4890517837396472,0.006359874525830322,0.006667610389983402,0.34273333333333333
4,1,17,0.5738422463897453,0.0,0.0061547172830616025,0.3796666666666667
4,1,18,0.591848897587556,0.0,0.005641824176139802,0.46659999999999996
4,1,19,0.5492254288299266,0.0,0.004410880719527482,0.40459999999999996
4,1,20,0.5143692132835211,0.0,0.004308302098143121,0.3688
4,1,21,0.46538997314491687,0.0,0.005949560040292882,0.33573333333333333
4,1,22,0.4271743077481735,0.0,0.006462453147214682,0.29973333333333335
4,1,23,0.4149736065207178,0.0,0.006975346254136482,0.28226666666666667
4,1,0,0.4005151498365922,0.0,0.006359874525830322,0.2733333333333333
4,1,1,0.39587141564652223,0.0,0.007898553846595723,0.26913333333333334
4,1,2,0.4064380394353252,0.0,0.010565598002589084,0.28226666666666667
4,1,3,0.43825690200253975,0.0,0.014053271129657324,0.28226666666666667
4,1,4,0.4798350946082624,0.007795975225211363,0.016104843557344525,0.3266
4,1,5,0.5308833455401892,0.044519121680812256,0.013232642158582445,0.36666666666666664
4,1,6,0.5688589769628932,0.093449124081152,0.011386226973663963,0.40393333333333337
4,1,7,0.5821121348457525,0.1353012016059709,0.010873333866742163,0.36666666666666664
4,1,8,0.5936932612000467,0.16679283837096942,0.009642390410129844,0.35233333333333333
4,1,9,0.6025878534602845,0.174075920489259,0.008924340060439323,0.34326666666666666
4,1,10,0.6047143082815823,0.1688444107986566,0.008924340060439323,0.30006666666666665
4,1,11,0.5837215934152731,0.15622724036838034,0.010463019381204723,0.28
4,1,12,0.5647353163832419,0.1298645346725998,0.008206289710748802,0.2934
4,1,13,0.5460106148357409,0.10073220619944155,0.009129497303208042,0.2912666666666667
4,1,14,0.5369724125055648,0.06708641838537147,0.007488239361058283,0.2916
4,1,15,0.5423106039624069,0.02944006433731133,0.006975346254136482,0.3161333333333333
4,1,16,0.5690938820058633,0.005334088311986722,0.0061547172830616025,0.3376
4,1,17,0.644029616499566,0.0,0.010155283517051644,0.367
4,1,18,0.6392073955082873,0.0,0.013130063537198084,0.4372
4,1,19,0.5970106538156169,0.0,0.015079057343500925,0.36666666666666664
4,1,20,0.5575342971620598,0.0,0.015079057343500925,0.33959999999999996
4,1,21,0.49886855780613043,0.0,0.021849246354868686,0.3046666666666667
4,1,22,0.4522209297315927,0.0,0.026260127074396167,0.28353333333333336
4,1,23,0.43904573160098553,0.0,0.028003963637930288,0.27893333333333337
4,1,0,0.42643266431556465,0.0,0.03005553606561749,0.2733333333333333
4,1,1,0.4220638408308047,0.0,0.03292773746437957,0.2716
4,1,2,0.42848936567432105,0.0,0.03579993886314165,0.26826666666666665
4,1,3,0.4500534434617412,0.0,0.03939019061159425,0.2733333333333333
4,1,4,0.492929255627976,0.006359874525830322,0.041031448553744014,0.2977333333333333
4,1,5,0.5457357041304307,0.03456899540652933,0.03959534785436297,0.3333333333333333
4,1,6,0.5846171047799585,0.08083195365087571,0.03569736024175729,0.3334
4,1,7,0.5979102683251578,0.1278129622449126,0.033235473328532654,0.28606666666666664
4,1,8,0.6062016982916556,0.16238195765144192,0.02687559880270233,0.2667333333333333
4,1,9,0.613026253972357,0.18002548052955186,0.024516290510862047,0.23346666666666668
4,1,10,0.6090369713867193,0.18361573227800446,0.023387925675634087,0.2581333333333333
4,1,11,0.5847596890636828,0.17674296464525233,0.02205440359763741,0.06666666666666667
4,1,12,0.5677726693624328,0.157560762446377,0.019592516684412767,0.2
4,1,13,0.5416725649373962,0.12688975465245336,0.017643522878109927,0.26666666666666666
4,1,14,0.5281547542113653,0.08760214266224348,0.016515158042881964,0.28073333333333333
4,1,15,0.529073858658969,0.04144176303928145,0.015591950450422725,0.33413333333333334
4,1,16,0.5537563265364738,0.006975346254136482,0.011796541459201403,0.35753333333333337
4,1,17,0.6380790306730594,0.0,0.007898553846595723,0.37333333333333335
4,1,18,0.648443574577735,0.0,0.005231509690602361,0.5842666666666667
4,1,19,0.5960884720093715,0.0,0.0038979876126056814,0.45699999999999996
4,1,20,0.5521786673395823,0.0,0.004513459340911841,0.38180000000000003
4,1,21,0.49924399556039717,0.0,0.0037954089912213213,0.33526666666666666
4,1,22,0.4576483645890392,0.0,0.003179937262915161,0.29133333333333333
